[Thu Apr 05 12:52:34 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:03:24 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:05:20 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:08:37 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:09:21 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:15:23 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/queue
[Thu Apr 05 13:15:23 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:18:17 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/queue
[Thu Apr 05 13:18:17 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:18:20 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/queue
[Thu Apr 05 13:18:20 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:18:43 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:18:56 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/queue
[Thu Apr 05 13:18:56 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:18:57 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/queue
[Thu Apr 05 13:18:57 2012] [error] [client 127.0.0.1] File does not exist: /var/sites/lol/php/public/favicon.ico
[Thu Apr 05 13:29:23 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 5
[Thu Apr 05 13:30:10 2012] [error] [client 127.0.0.1] PHP Warning:  Missing argument 1 for Autoloader::__construct(), called in /var/sites/lol/php/public/test.php on line 5 and defined in /var/sites/lol/php/includes/Autoloader.php on line 7
[Thu Apr 05 13:30:10 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: root in /var/sites/lol/php/includes/Autoloader.php on line 8
[Thu Apr 05 13:30:10 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:30:14 2012] [error] [client 127.0.0.1] PHP Warning:  Missing argument 1 for Autoloader::__construct(), called in /var/sites/lol/php/public/test.php on line 5 and defined in /var/sites/lol/php/includes/Autoloader.php on line 7
[Thu Apr 05 13:30:14 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: root in /var/sites/lol/php/includes/Autoloader.php on line 8
[Thu Apr 05 13:30:14 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:30:26 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:30:30 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:31:22 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:32:20 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:33:34 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:34:10 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:34:13 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:37:34 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:37:37 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:39:11 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:40:04 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Controller\\Queue' not found in /var/sites/lol/php/public/test.php on line 7
[Thu Apr 05 13:41:01 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) in /var/sites/lol/php/includes/Controller/Queue.php on line 7
